id_mobilitas,iso_code,tanggal,retail_recreation,grocery_pharmacy,parks,transit_stations,workplaces,residential,private_vehicle_movement,public_transport_usage,walking_cycling,morning_rush_hour,afternoon_activity,evening_rush_hour,night_activity,overall_mobility_index
1264,ID-SS,2020-11-15,-49.0,-35.8,-61.0,-77.5,-33.6,19.3,-47.0,-83.9,-24.2,-55.6,-40.9,-42.7,-78.0,-53.3
1265,ID-BE,2020-11-15,-19.6,-7.9,-3.9,-34.3,-32.8,8.5,-22.5,-47.0,-22.4,-26.0,-29.4,-30.3,-26.7,-28.9
1266,ID-LA,2020-11-15,-52.9,-26.3,-27.0,-66.6,-36.7,9.6,-25.3,-52.6,-19.0,-38.9,-22.2,-49.2,-57.3,-52.1
1267,ID-BB,2020-11-15,-37.4,-23.5,-38.1,-52.8,-50.1,15.9,-38.2,-64.2,-35.5,-49.2,-44.0,-45.6,-41.2,-46.8
1268,ID-KR,2020-11-15,-24.0,-20.4,-25.7,-42.2,-32.8,11.6,-16.6,-58.4,-8.8,-30.3,-16.6,-25.3,-24.0,-33.0
1269,ID-JK,2020-11-15,-55.3,-29.7,-59.4,-49.0,-53.7,18.7,-45.8,-85.6,-11.7,-51.5,-40.3,-42.1,-44.8,-52.7
1270,ID-JB,2020-11-15,-37.2,-18.0,-22.8,-22.1,-17.9,8.4,-11.3,-45.8,-7.8,-19.9,-11.1,-26.5,-50.7,-25.7
1271,ID-JT,2020-11-15,-46.6,-35.8,-87.4,-57.6,-39.0,17.6,-37.2,-71.0,-36.7,-54.7,-52.0,-43.8,-73.3,-47.7
1272,ID-YO,2020-11-15,-35.3,-22.5,-71.6,-56.5,-37.3,18.4,-40.9,-92.3,-16.8,-42.5,-50.8,-57.2,-77.1,-43.0
1273,ID-JI,2020-11-15,-3.8,-14.6,-46.4,-32.3,-9.6,7.2,-22.4,-44.9,-22.3,-22.7,-28.4,-18.5,-21.7,-15.3
1274,ID-BT,2020-11-15,-48.4,-37.4,-37.4,-76.7,-34.8,16.2,-40.6,-88.4,-18.1,-54.6,-53.6,-56.3,-62.8,-53.3
1275,ID-BA,2020-11-15,-27.7,-14.8,-30.7,-41.5,-35.0,11.0,-29.3,-53.0,-18.0,-38.8,-23.6,-46.6,-37.1,-34.7
1276,ID-NB,2020-11-15,-39.8,-22.4,-25.8,-69.5,-39.3,17.3,-42.1,-75.3,-31.6,-52.5,-27.2,-41.5,-59.5,-49.5
1277,ID-NT,2020-11-15,-74.8,-27.4,-45.1,-69.5,-44.8,15.1,-41.7,-75.2,-18.8,-44.3,-43.3,-60.2,-71.5,-63.0
1278,ID-KB,2020-11-15,-30.9,-22.1,-18.8,-50.2,-43.5,14.9,-18.8,-54.7,-33.8,-29.3,-27.9,-45.8,-38.1,-41.5
1279,ID-KT,2020-11-15,-54.2,-29.1,-48.3,-44.1,-45.4,18.5,-35.4,-90.6,-17.2,-37.9,-28.7,-35.6,-44.5,-47.9
1280,ID-KS,2020-11-15,-45.4,-27.9,-12.4,-47.2,-26.9,13.8,-22.4,-54.4,-8.7,-43.6,-25.5,-34.8,-63.2,-39.8
1281,ID-KI,2020-11-15,-55.1,-14.2,-59.9,-59.3,-21.3,12.5,-24.0,-72.7,-12.8,-44.6,-44.7,-33.0,-41.0,-45.2
1282,ID-KU,2020-11-15,-41.9,-20.5,-56.5,-58.1,-37.5,14.9,-43.0,-82.8,-37.0,-53.8,-43.8,-47.1,-83.4,-45.8
1283,ID-SA,2020-11-15,-54.0,-24.4,-40.5,-45.8,-26.0,18.3,-26.7,-69.5,-18.6,-45.1,-43.6,-45.1,-62.5,-41.9
1284,ID-ST,2020-11-15,-53.5,-27.1,-78.4,-69.6,-50.9,14.0,-46.6,-93.3,-26.3,-39.9,-48.5,-54.5,-74.4,-58.0
1285,ID-SN,2020-11-15,-25.0,-18.9,-60.7,-37.2,-38.6,15.8,-20.3,-66.6,-11.0,-36.3,-20.5,-43.7,-27.1,-33.6
1286,ID-SG,2020-11-15,-37.9,-30.3,-42.0,-49.2,-34.3,14.8,-41.1,-73.1,-31.8,-44.2,-30.6,-37.1,-80.3,-40.5
1287,ID-GO,2020-11-15,-61.8,-19.7,-63.0,-65.6,-53.0,10.6,-31.5,-81.4,-23.8,-38.0,-42.2,-48.3,-47.6,-60.1
1288,ID-SR,2020-11-15,-66.5,-32.7,-39.7,-76.0,-46.1,13.5,-28.9,-69.3,-26.1,-50.9,-44.3,-44.7,-55.4,-62.9
1289,ID-MA,2020-11-15,-59.8,-30.5,-59.3,-79.9,-56.2,22.2,-49.9,-88.0,-14.9,-42.3,-54.9,-60.7,-76.7,-65.3
1290,ID-MU,2020-11-15,-13.3,-4.7,-40.7,-36.9,-7.3,11.3,-19.0,-56.0,-10.9,-22.3,-30.0,-15.3,-27.7,-19.2
1291,ID-PA,2020-11-15,-10.4,-22.7,-27.6,-45.8,-26.8,9.7,-24.1,-55.2,-24.9,-16.5,-6.4,-29.0,-21.6,-27.7
1292,ID-PB,2020-11-15,-39.8,-11.3,-2.6,-18.1,-30.2,10.1,-18.1,-54.8,2.3,-20.2,-5.5,-30.5,-41.5,-29.4
1293,ID-AC,2020-11-22,-34.6,-23.2,-37.9,-62.7,-41.9,12.3,-37.0,-76.3,-8.2,-35.1,-23.2,-31.9,-60.7,-46.4
1294,ID-SU,2020-11-22,-55.7,-21.4,-32.8,-52.5,-34.7,15.1,-24.8,-69.5,-21.7,-47.0,-24.2,-40.3,-71.4,-47.6
1295,ID-SB,2020-11-22,-48.3,-18.9,-30.0,-51.1,-37.4,11.9,-31.5,-65.3,-12.7,-30.2,-32.6,-35.7,-20.7,-45.6
1296,ID-RI,2020-11-22,-24.8,-7.4,-51.3,-23.5,-32.6,10.9,-19.3,-41.8,-24.3,-31.1,-18.0,-15.1,-34.7,-27.0
1297,ID-JA,2020-11-22,-31.8,-9.2,-43.6,-28.5,-14.3,4.2,-14.9,-54.0,-5.2,-20.1,-31.0,-19.6,-56.2,-24.9
1298,ID-SS,2020-11-22,-34.3,-23.6,-21.2,-52.2,-50.1,8.9,-26.0,-48.8,-29.3,-34.7,-38.8,-40.8,-35.6,-45.5
1299,ID-BE,2020-11-22,-27.5,-29.7,-19.3,-60.6,-36.8,12.7,-31.2,-49.5,-9.3,-27.8,-45.1,-41.3,-46.1,-41.6
1300,ID-LA,2020-11-22,-48.7,-34.6,-86.4,-57.3,-45.4,21.8,-38.9,-102.0,-37.9,-57.2,-49.5,-59.3,-71.8,-50.4
1301,ID-BB,2020-11-22,-16.5,-12.4,-42.7,-38.5,-32.1,5.8,-23.0,-46.1,2.6,-20.7,-13.6,-23.0,-11.1,-29.0
1302,ID-KR,2020-11-22,-38.8,-31.6,-21.7,-44.7,-28.5,9.9,-40.5,-52.4,-24.1,-30.6,-46.1,-39.8,-63.5,-37.3
1303,ID-JK,2020-11-22,-24.9,-16.4,-22.3,-41.2,-31.7,13.4,-18.3,-37.4,-22.5,-22.9,-28.0,-28.0,-50.0,-32.6
1304,ID-JB,2020-11-22,-55.5,-27.0,-48.0,-71.4,-45.2,20.4,-35.4,-101.4,-28.1,-50.8,-35.7,-57.3,-59.1,-57.4
1305,ID-JT,2020-11-22,-36.6,-6.6,-4.1,-42.8,-34.0,6.6,-22.5,-41.5,-13.3,-29.7,-18.1,-26.3,-46.8,-37.8
1306,ID-YO,2020-11-22,-65.7,-24.4,-71.7,-63.6,-58.7,16.5,-36.4,-71.2,-24.9,-47.2,-52.6,-58.4,-52.0,-62.7
1307,ID-JI,2020-11-22,-38.6,-25.4,-26.9,-58.2,-45.9,11.3,-40.7,-85.1,-39.5,-57.8,-30.2,-48.9,-66.1,-47.6
1308,ID-BT,2020-11-22,-41.9,-30.8,-59.1,-75.7,-34.1,19.0,-46.2,-63.6,-18.3,-51.8,-44.3,-54.9,-74.6,-50.6
1309,ID-BA,2020-11-22,-70.0,-15.5,-45.6,-72.2,-51.0,18.0,-38.9,-58.6,-32.1,-45.5,-34.7,-54.0,-70.6,-64.4
1310,ID-NB,2020-11-22,-26.0,-8.3,-40.8,-24.3,-10.8,2.8,-7.3,-48.0,0.5,-10.7,-32.5,-18.2,-31.8,-20.4
1311,ID-NT,2020-11-22,-69.3,-26.9,-30.3,-72.2,-31.3,13.6,-42.9,-86.3,-13.4,-53.0,-57.1,-51.9,-60.8,-57.6
1312,ID-KB,2020-11-22,-28.2,-9.7,-19.8,-39.5,-12.5,6.4,-19.6,-34.5,-25.9,-22.1,-19.4,-26.1,-31.3,-26.7
1313,ID-KT,2020-11-22,-52.9,-22.5,-50.6,-33.6,-34.4,9.1,-16.3,-31.0,-21.5,-35.6,-39.3,-28.8,-54.7,-40.3
1314,ID-KS,2020-11-22,-58.6,-32.1,-75.1,-62.3,-53.8,13.5,-30.5,-62.4,-23.5,-51.6,-41.3,-46.3,-45.3,-58.2
1315,ID-KI,2020-11-22,-68.6,-38.6,-84.3,-86.5,-33.5,15.6,-43.3,-70.7,-44.1,-49.8,-53.4,-45.5,-62.1,-62.9
1316,ID-KU,2020-11-22,-36.9,-30.1,-48.9,-50.0,-41.5,12.3,-20.9,-75.7,-33.4,-30.1,-29.0,-30.4,-40.3,-42.8
1317,ID-SA,2020-11-22,-14.7,-13.1,-6.7,-22.0,-28.9,4.3,-12.5,-22.3,-17.5,-21.9,-5.3,-19.8,-19.3,-21.9
1318,ID-ST,2020-11-22,-9.3,-19.0,2.4,-25.1,-10.8,5.4,-14.6,-41.0,-25.5,-23.4,-23.8,-31.2,-23.5,-15.1
1319,ID-SN,2020-11-22,-45.8,-18.1,-58.2,-39.3,-35.5,9.1,-34.0,-66.6,-17.4,-28.3,-26.8,-34.4,-51.8,-40.2
1320,ID-SG,2020-11-22,-31.1,-34.0,-39.5,-49.8,-50.4,15.6,-25.4,-75.2,-33.8,-34.9,-32.6,-48.9,-68.9,-43.7
1321,ID-GO,2020-11-22,-43.8,-30.5,-83.8,-54.2,-50.4,15.2,-36.5,-75.9,-41.7,-59.4,-46.1,-49.9,-50.6,-49.5
1322,ID-SR,2020-11-22,-65.9,-33.0,-78.9,-74.3,-48.8,16.4,-30.8,-96.5,-16.5,-49.3,-36.6,-46.7,-68.1,-63.0
1323,ID-MA,2020-11-22,-49.0,-15.7,-22.5,-39.2,-32.3,13.8,-20.1,-42.9,-27.0,-37.3,-24.8,-37.8,-32.3,-40.2
1324,ID-MU,2020-11-22,-14.9,-16.2,-43.0,-31.1,-37.2,11.9,-20.4,-31.5,-2.7,-28.0,-31.8,-34.7,-30.0,-27.8
1325,ID-PA,2020-11-22,-52.8,-23.6,-69.2,-64.8,-49.8,9.7,-22.7,-68.8,-9.1,-43.8,-41.8,-34.8,-47.7,-55.8
1326,ID-PB,2020-11-22,-23.7,-18.2,-48.4,-54.4,-24.3,14.5,-37.7,-76.5,-16.3,-46.2,-39.8,-31.5,-28.5,-34.1
1327,ID-AC,2020-11-29,-46.4,-23.3,-69.6,-64.1,-37.5,22.2,-50.1,-98.3,-28.6,-48.6,-56.3,-56.1,-75.6,-49.3
1328,ID-SU,2020-11-29,-67.3,-28.1,-70.8,-49.2,-32.0,16.6,-33.7,-79.3,-38.5,-38.3,-35.6,-37.0,-74.2,-49.5
1329,ID-SB,2020-11-29,-36.9,-10.4,-24.0,-44.1,-13.9,10.1,-18.6,-40.3,-23.8,-28.8,-13.3,-19.1,-12.5,-31.6
1330,ID-RI,2020-11-29,-34.3,-15.6,-42.3,-14.0,-5.2,5.0,-18.5,-32.6,-15.2,-19.4,-19.6,-16.9,-40.5,-17.8
1331,ID-JA,2020-11-29,-66.0,-20.6,-61.0,-52.9,-33.7,12.2,-29.6,-52.6,-9.3,-51.0,-36.1,-52.1,-72.5,-50.9
1332,ID-SS,2020-11-29,-14.0,-19.5,-3.6,-46.3,-27.8,8.5,-20.7,-25.7,-21.0,-23.8,-28.7,-25.5,-44.0,-29.4
1333,ID-BE,2020-11-29,-53.8,-17.5,-45.1,-35.6,-45.9,16.9,-35.2,-55.3,-23.4,-42.2,-40.2,-37.3,-55.7,-45.1
1334,ID-LA,2020-11-29,-34.2,-18.3,-64.4,-60.7,-37.8,13.2,-35.7,-69.5,-11.2,-43.9,-38.4,-31.2,-38.2,-44.2
1335,ID-BB,2020-11-29,-28.1,-32.3,-51.1,-63.2,-29.3,12.4,-26.8,-60.0,-28.0,-38.2,-50.7,-36.4,-63.0,-40.2
1336,ID-KR,2020-11-29,-56.3,-12.3,-45.9,-49.6,-20.7,16.5,-38.4,-74.9,-14.9,-27.9,-31.3,-29.2,-63.1,-42.2
1337,ID-JK,2020-11-29,-30.3,-11.5,-22.5,-37.5,-7.9,3.7,-22.5,-14.0,-0.1,-17.5,-18.3,-28.2,-9.1,-25.2
1338,ID-JB,2020-11-29,-56.2,-31.8,-21.5,-58.3,-23.3,10.5,-26.7,-86.0,-30.6,-41.2,-51.9,-47.8,-39.7,-45.9
1339,ID-JT,2020-11-29,-63.8,-31.2,-77.2,-69.4,-50.1,15.6,-36.6,-103.9,-19.2,-49.0,-40.0,-50.7,-67.6,-61.1
1340,ID-YO,2020-11-29,-13.8,-18.5,-21.9,-36.1,-9.8,3.6,-7.9,-39.5,-9.8,-32.9,-27.8,-29.2,-39.6,-19.9
1341,ID-JI,2020-11-29,-22.2,-15.5,-3.2,-34.6,-32.9,3.4,-20.5,-28.1,-9.5,-22.5,-18.7,-26.5,-32.1,-29.9
1342,ID-BT,2020-11-29,-50.2,-11.4,-36.5,-41.3,-12.0,4.9,-18.9,-43.7,-18.2,-33.6,-34.9,-25.7,-47.2,-34.5
1343,ID-BA,2020-11-29,-56.0,-19.5,-16.0,-38.5,-15.0,15.5,-28.1,-54.0,-30.1,-31.2,-43.5,-32.0,-51.0,-36.5
1344,ID-NB,2020-11-29,-57.0,-13.8,-59.7,-68.7,-32.5,12.7,-29.0,-66.0,-31.4,-48.7,-32.1,-37.5,-66.1,-52.8
1345,ID-NT,2020-11-29,-42.9,-19.2,-72.7,-73.2,-38.1,14.6,-32.7,-83.6,-37.3,-36.1,-35.8,-48.3,-68.1,-51.4
1346,ID-KB,2020-11-29,-52.1,-25.1,-72.0,-49.1,-43.3,17.2,-37.7,-67.7,-17.7,-35.0,-24.4,-41.2,-54.1,-48.1
1347,ID-KT,2020-11-29,-28.4,-13.8,-47.3,-48.6,-25.1,5.6,-29.1,-59.2,-22.4,-32.9,-32.6,-23.1,-21.9,-34.0
1348,ID-KS,2020-11-29,-20.8,-24.1,-19.3,-50.2,-33.9,10.0,-27.9,-59.7,-10.0,-38.7,-45.7,-46.2,-41.8,-35.0
1349,ID-KI,2020-11-29,-30.4,-9.0,-41.1,-39.9,-31.0,14.2,-30.7,-67.2,-28.8,-26.9,-29.3,-29.8,-40.1,-33.8
1350,ID-KU,2020-11-29,-36.3,-14.0,-46.0,-61.2,-48.4,18.2,-28.6,-53.9,-24.2,-38.5,-29.9,-36.4,-34.5,-48.6
1351,ID-SA,2020-11-29,-26.7,-18.6,-51.6,-42.2,-24.2,12.8,-30.5,-67.6,-5.3,-33.0,-42.4,-26.1,-49.6,-31.0
1352,ID-ST,2020-11-29,-38.6,-16.2,-70.7,-54.0,-35.0,15.3,-41.5,-67.7,-24.8,-38.9,-39.0,-48.4,-53.4,-42.5
1353,ID-SN,2020-11-29,-37.5,-31.2,-72.5,-66.3,-26.7,9.9,-27.9,-82.1,-9.4,-38.6,-47.2,-47.6,-71.7,-43.5
1354,ID-SG,2020-11-29,-46.3,-22.3,-15.9,-41.7,-41.1,14.1,-26.7,-81.5,-10.3,-40.6,-27.8,-44.3,-48.8,-43.0
1355,ID-GO,2020-11-29,-27.8,-7.3,-47.8,-42.7,-11.2,4.7,-18.1,-44.9,-21.1,-17.0,-25.4,-28.5,-34.5,-27.3
1356,ID-SR,2020-11-29,-50.2,-25.3,-39.3,-59.8,-34.4,15.9,-35.4,-71.3,-10.5,-47.9,-30.6,-43.0,-36.8,-48.1
1357,ID-MA,2020-11-29,-29.9,-13.9,-42.2,-26.3,-19.2,8.3,-16.8,-27.7,-29.6,-21.6,-22.9,-35.8,-40.7,-25.1
1358,ID-MU,2020-11-29,-38.7,-14.6,-51.3,-47.8,-33.5,10.9,-37.0,-46.0,-9.5,-32.2,-19.9,-27.9,-30.0,-40.0
1359,ID-PA,2020-11-29,-70.7,-38.0,-49.8,-66.9,-48.1,22.1,-38.2,-90.0,-42.3,-58.9,-51.6,-59.4,-78.4,-61.9
1360,ID-PB,2020-11-29,-51.8,-18.1,-53.5,-61.7,-36.3,13.0,-45.1,-80.9,-12.9,-55.9,-31.3,-52.3,-74.4,-49.9
1361,ID-AC,2020-12-06,-47.3,-14.6,-32.1,-44.5,-33.3,4.2,-16.5,-46.1,-1.0,-16.8,-26.3,-27.0,-29.5,-41.7
1362,ID-SU,2020-12-06,-7.0,-11.4,2.1,-22.1,-9.5,5.6,-23.1,-16.7,-8.5,-23.9,-15.4,-14.5,-8.7,-12.9
1363,ID-SB,2020-12-06,-7.3,-6.1,-14.6,-38.8,-28.7,11.2,-6.4,-39.4,4.2,-23.1,-3.2,-16.3,-29.8,-24.9
1364,ID-RI,2020-12-06,-24.9,-14.5,-37.0,-47.8,-26.4,14.1,-31.5,-46.3,-19.9,-23.5,-40.5,-32.9,-34.6,-33.0
1365,ID-JA,2020-12-06,-19.1,1.9,7.2,-26.6,4.3,1.6,-0.6,-26.7,8.5,-11.9,-10.2,0.5,-22.6,-13.8
1366,ID-SS,2020-12-06,-37.7,-3.4,-27.6,-22.4,-7.2,7.5,-7.6,-33.7,-20.0,-13.5,-22.1,-26.6,-29.3,-22.4
1367,ID-BE,2020-12-06,-5.9,-4.6,-27.4,-2.1,-20.9,3.2,-7.4,-25.1,-14.4,-14.8,-0.9,-13.2,-34.6,-9.6
1368,ID-LA,2020-12-06,-22.7,-11.0,-11.2,-9.0,-18.4,5.0,-10.0,-24.8,-12.4,-16.8,-19.4,-2.9,-4.6,-16.7
1369,ID-BB,2020-12-06,-46.3,-15.0,-60.8,-56.9,-23.7,13.5,-35.0,-37.2,-20.3,-28.7,-36.7,-23.3,-28.1,-42.3
1370,ID-KR,2020-12-06,-25.6,-22.0,-15.3,-21.2,-8.5,6.8,-24.1,-21.0,-19.5,-15.5,-16.9,-19.1,-30.6,-18.4
1371,ID-JK,2020-12-06,-19.8,-13.2,-11.9,-39.7,-31.5,7.2,-14.6,-34.6,-20.2,-17.8,-5.8,-30.7,-33.4,-30.3
1372,ID-JB,2020-12-06,-8.6,-5.5,-11.4,-5.2,-13.9,0.5,-13.7,-40.9,-21.9,-11.1,-11.0,-17.2,-34.5,-9.2
1373,ID-JT,2020-12-06,-19.8,-15.5,-50.3,-40.8,-8.2,8.1,-8.7,-25.5,2.2,-16.5,-20.4,-22.7,-24.6,-22.9
1374,ID-YO,2020-12-06,-17.9,-8.9,-19.0,-15.3,-11.8,3.7,-6.8,-16.9,-16.4,-6.9,-23.7,-12.2,-2.2,-15.0
1375,ID-JI,2020-12-06,-23.5,-1.0,6.2,-27.4,-12.1,5.9,-17.0,-17.3,-3.6,-7.7,-12.7,-21.6,-40.5,-21.0
1376,ID-BT,2020-12-06,-16.5,-20.5,-63.9,-37.2,-19.6,12.1,-31.0,-40.5,-31.3,-23.8,-30.9,-36.9,-28.4,-24.5
1377,ID-BA,2020-12-06,-30.8,-3.9,3.4,-4.9,-26.4,7.4,-3.4,-30.0,-10.2,-20.9,-0.4,-17.4,-37.1,-20.7
1378,ID-NB,2020-12-06,-15.5,-10.1,-61.9,-47.9,-15.5,5.9,-23.9,-55.0,-5.6,-29.5,-37.3,-37.5,-47.4,-26.3
1379,ID-NT,2020-12-06,-34.0,-7.0,-56.6,-38.5,-12.9,11.0,-15.7,-50.6,-16.3,-25.8,-37.5,-37.9,-45.8,-28.5
1380,ID-KB,2020-12-06,-3.8,-11.4,7.2,-10.9,-5.6,9.0,-5.1,-26.6,-15.7,-20.1,-7.7,-17.8,-23.8,-6.7
1381,ID-KT,2020-12-06,-1.1,-12.2,-42.5,-23.3,-15.5,1.2,-10.0,-30.6,-13.8,-16.0,-9.4,-20.4,2.6,-13.3
1382,ID-KS,2020-12-06,-12.1,-17.2,-4.6,-22.1,-9.8,10.2,-17.1,-39.8,-12.2,-22.4,-27.8,-16.0,-41.4,-14.7
1383,ID-KI,2020-12-06,-25.9,-16.9,-23.4,-47.6,-24.2,13.5,-25.2,-52.4,-31.5,-32.0,-28.2,-28.5,-47.2,-32.5
1384,ID-KU,2020-12-06,-33.0,-17.9,-7.6,-42.1,-27.1,5.6,-24.9,-33.7,-15.3,-21.7,-25.2,-32.5,-38.8,-34.1
1385,ID-SA,2020-12-06,-24.4,-15.3,-55.9,-35.3,-30.3,15.6,-27.7,-64.7,-22.3,-41.9,-43.4,-40.4,-30.9,-30.0
1386,ID-ST,2020-12-06,-29.6,-8.9,-38.8,-6.0,-3.8,5.6,-9.4,-7.3,-0.0,-1.9,-2.6,-9.7,-19.6,-13.1
1387,ID-SN,2020-12-06,-39.6,-14.6,-36.8,-44.4,-15.8,12.6,-33.5,-55.0,-32.4,-33.6,-20.4,-28.1,-53.7,-33.3
1388,ID-SG,2020-12-06,-17.4,-14.0,-7.8,-16.4,-13.4,6.4,-16.6,-25.0,-21.4,-17.3,-10.7,-12.1,-14.7,-15.7
1389,ID-GO,2020-12-06,-28.2,-18.8,-9.2,-37.8,-27.9,5.1,-21.3,-44.6,-16.3,-24.1,-31.2,-16.9,-47.0,-31.3
1390,ID-SR,2020-12-06,4.6,-3.5,3.9,-6.6,3.7,5.6,-0.5,-22.2,-16.9,-11.0,-23.5,-4.3,-12.8,0.5
1391,ID-MA,2020-12-06,-16.6,-24.6,-44.8,-28.4,-10.3,8.7,-26.9,-53.5,-12.8,-19.6,-23.0,-28.9,-35.2,-18.5
1392,ID-MU,2020-12-06,-15.3,-11.4,11.7,-13.1,-4.6,0.1,-13.1,-32.2,-5.1,-22.8,-4.7,-7.8,-13.5,-11.0
1393,ID-PA,2020-12-06,-5.4,2.2,16.0,-29.6,-18.0,5.7,-15.1,-18.2,-6.9,-15.2,-22.6,-7.8,-7.1,-17.6
1394,ID-PB,2020-12-06,-26.2,-9.0,-31.3,-15.4,-18.1,7.8,-17.8,-29.7,-23.4,-14.8,-10.6,-22.8,-13.0,-19.9
1395,ID-AC,2020-12-13,-15.7,-8.2,-48.8,-41.2,-26.0,3.6,-24.1,-46.9,-4.0,-25.8,-28.8,-15.5,-36.5,-27.6
1396,ID-SU,2020-12-13,-6.5,-2.9,-35.1,-18.6,-2.0,6.5,-10.6,0.2,-1.6,-11.9,-22.7,-11.4,-34.7,-9.1
1397,ID-SB,2020-12-13,-9.7,-6.1,-19.2,-19.4,-27.4,8.8,-11.4,-45.8,-20.9,-19.0,-13.8,-28.3,-12.3,-18.8
1398,ID-RI,2020-12-13,-23.6,2.1,-13.3,-12.4,-20.0,5.2,-0.2,-12.2,8.9,-3.2,-8.5,-9.7,-0.4,-18.7
1399,ID-JA,2020-12-13,-18.3,-21.6,-41.0,-24.8,-14.4,13.2,-20.4,-55.0,-2.9,-31.6,-10.7,-21.5,-18.4,-19.2
1400,ID-SS,2020-12-13,-43.1,-11.0,-64.2,-39.4,-22.0,11.0,-17.0,-36.7,-32.5,-39.2,-29.7,-41.7,-61.3,-34.8
1401,ID-BE,2020-12-13,-28.0,-11.3,-50.4,-37.1,-41.4,7.3,-17.7,-53.6,-10.0,-31.7,-24.7,-35.0,-51.8,-35.5
1402,ID-LA,2020-12-13,-17.4,-18.7,-14.0,-19.8,-14.3,2.9,-17.5,-23.6,-10.1,-29.2,-28.3,-12.6,-38.7,-17.1
1403,ID-BB,2020-12-13,6.3,-7.9,12.9,-1.5,-8.5,2.6,-15.2,-15.1,4.8,-18.1,-5.5,-16.7,-28.8,-1.2
1404,ID-KR,2020-12-13,0.9,-13.8,7.7,-6.8,-11.6,7.6,-12.8,-7.1,8.2,-19.0,-3.7,-4.6,-19.3,-5.8
1405,ID-JK,2020-12-13,-23.7,-9.1,-42.3,-16.6,-28.4,3.4,-23.3,-48.3,-22.2,-18.3,-3.9,-21.5,-12.3,-22.9
1406,ID-JB,2020-12-13,-2.1,-15.8,-10.6,-12.7,-10.9,10.1,-9.5,-41.6,-18.1,-26.8,-15.8,-8.9,-37.5,-8.6
1407,ID-JT,2020-12-13,-40.8,-6.5,-3.0,-37.1,-13.7,8.8,-11.2,-25.1,-10.3,-16.0,-32.0,-30.6,-44.0,-30.5
1408,ID-YO,2020-12-13,-16.4,-2.6,-40.2,-10.1,-3.4,4.8,-19.4,-20.7,-14.6,-7.8,-15.4,-21.5,-26.5,-10.0
1409,ID-JI,2020-12-13,-48.8,-9.6,-22.6,-46.0,-18.0,10.4,-15.7,-69.1,-26.2,-41.0,-32.6,-31.7,-35.8,-37.6
1410,ID-BT,2020-12-13,-1.0,-1.8,7.5,-13.6,-19.4,6.5,-15.6,-24.3,7.0,-12.2,-4.3,-21.9,-23.7,-11.3
1411,ID-BA,2020-12-13,-33.6,-18.2,-41.0,-45.2,-11.9,6.8,-31.8,-44.2,-24.9,-24.8,-17.4,-29.6,-27.3,-30.2
1412,ID-NB,2020-12-13,-17.6,-14.8,2.2,-34.0,-26.9,6.4,-18.7,-27.8,-0.1,-13.5,-17.8,-19.7,-39.6,-26.2
1413,ID-NT,2020-12-13,-19.6,-11.8,-9.6,-21.1,-32.2,6.8,-11.3,-48.6,-1.1,-15.9,-28.6,-26.4,-39.3,-24.3
1414,ID-KB,2020-12-13,-27.9,-8.3,-39.1,-50.5,-23.5,12.9,-21.9,-46.4,-18.0,-26.6,-25.3,-36.0,-50.7,-34.0
1415,ID-KT,2020-12-13,-16.5,-11.8,-58.4,-47.0,-31.9,7.2,-12.3,-30.7,-11.9,-35.3,-14.0,-20.3,-37.3,-31.8
1416,ID-KS,2020-12-13,-42.8,-6.0,-40.8,-21.8,-24.4,7.2,-15.7,-36.1,-0.1,-22.8,-13.1,-34.8,-44.8,-29.7
1417,ID-KI,2020-12-13,-35.0,-10.0,-54.8,-45.9,-17.9,10.4,-33.2,-40.3,-8.7,-37.0,-31.8,-35.1,-46.9,-32.9
1418,ID-KU,2020-12-13,-3.3,-15.3,-33.3,-10.9,-2.6,8.2,-19.5,-31.3,-7.2,-10.8,-1.2,-5.4,-14.0,-5.6
1419,ID-SA,2020-12-13,-48.3,-19.8,-27.4,-27.0,-10.4,10.4,-16.3,-32.4,-22.7,-24.2,-23.0,-23.5,-48.0,-28.5
1420,ID-ST,2020-12-13,-29.4,-12.2,-33.9,-27.6,-16.9,10.5,-18.9,-30.1,-26.4,-19.9,-27.8,-31.2,-24.3,-24.6
1421,ID-SN,2020-12-13,-18.3,-10.4,-35.2,-26.8,-27.9,5.4,-25.2,-54.6,-27.2,-30.4,-35.3,-29.0,-34.7,-24.3
1422,ID-SG,2020-12-13,-24.4,-15.6,-47.0,-50.7,-17.4,8.0,-30.5,-64.4,-9.6,-33.0,-34.1,-30.3,-51.3,-30.9
1423,ID-GO,2020-12-13,-5.5,-20.5,-2.4,-15.3,-9.6,6.9,-21.8,-26.3,-23.7,-23.1,-10.8,-24.5,-25.4,-10.1
1424,ID-SR,2020-12-13,-54.3,-17.3,-48.2,-31.0,-41.7,15.4,-19.1,-75.4,-9.0,-42.9,-30.1,-25.6,-50.2,-42.3
1425,ID-MA,2020-12-13,-27.7,-5.5,-12.7,-30.3,-12.1,10.9,-22.6,-50.0,-9.5,-17.8,-14.3,-9.3,-26.2,-23.4
1426,ID-MU,2020-12-13,-41.0,-16.9,-35.9,-37.7,-15.2,10.0,-19.6,-38.9,-9.2,-25.3,-33.4,-30.9,-30.1,-31.3
