id_kebijakan,iso_code,tanggal_mulai,tanggal_selesai,jenis_kebijakan,nama_kebijakan,deskripsi_kebijakan,tingkat_keketatan,sektor_pendidikan,sektor_ekonomi,sektor_transportasi,sektor_pariwisata,sektor_ibadah,compliance_rate,dampak_ekonomi_pct,status_kebijakan
122,ID-PB,2022-03-01,2022-03-18,PPKM Level 1,PPKM Level 1 Papua Barat,Implementasi PPKM Level 1 di Papua Barat untuk mengendalikan penyebaran COVID-19,3,True,True,True,False,True,68.4,13.3,Berakhir
123,ID-YO,2022-03-01,2022-04-05,PPKM Level 1,PPKM Level 1 Yogyakarta,Implementasi PPKM Level 1 di Yogyakarta untuk mengendalikan penyebaran COVID-19,3,False,True,False,False,False,64.8,10.6,Berakhir
124,ID-KB,2022-03-01,2022-05-19,PPKM Level 1,PPKM Level 1 Kalimantan Barat,Implementasi PPKM Level 1 di Kalimantan Barat untuk mengendalikan penyebaran COVID-19,3,True,True,True,True,False,83.0,11.6,Berakhir
125,ID-KS,2022-03-01,2022-03-19,PPKM Level 1,PPKM Level 1 Kalimantan Selatan,Implementasi PPKM Level 1 di Kalimantan Selatan untuk mengendalikan penyebaran COVID-19,3,True,True,True,False,False,73.2,9.3,Berakhir
126,ID-BB,2022-03-01,2022-03-25,PPKM Level 1,PPKM Level 1 Kepulauan Bangka Belitung,Implementasi PPKM Level 1 di Kepulauan Bangka Belitung untuk mengendalikan penyebaran COVID-19,3,False,False,False,False,False,68.5,12.6,Berakhir
127,ID-MA,2022-03-01,2022-04-02,PPKM Level 1,PPKM Level 1 Maluku,Implementasi PPKM Level 1 di Maluku untuk mengendalikan penyebaran COVID-19,3,False,True,False,True,False,76.9,7.5,Berakhir
128,ID-SB,2022-03-01,2022-04-13,PPKM Level 1,PPKM Level 1 Sumatera Barat,Implementasi PPKM Level 1 di Sumatera Barat untuk mengendalikan penyebaran COVID-19,3,True,False,True,True,False,80.2,9.3,Berakhir
129,ID-SN,2022-03-01,2022-05-11,PPKM Level 1,PPKM Level 1 Sulawesi Selatan,Implementasi PPKM Level 1 di Sulawesi Selatan untuk mengendalikan penyebaran COVID-19,3,True,False,False,True,True,89.1,7.8,Berakhir
130,ID-JI,2022-03-01,2022-03-24,PPKM Level 1,PPKM Level 1 Jawa Timur,Implementasi PPKM Level 1 di Jawa Timur untuk mengendalikan penyebaran COVID-19,3,True,False,False,True,True,64.4,14.3,Berakhir
131,ID-LA,2022-03-01,2022-04-16,PPKM Level 1,PPKM Level 1 Lampung,Implementasi PPKM Level 1 di Lampung untuk mengendalikan penyebaran COVID-19,3,False,False,False,False,False,85.2,6.3,Berakhir
132,ID-BE,2022-06-01,2022-07-14,PPKM Level 1,PPKM Level 1 Bengkulu,Implementasi PPKM Level 1 di Bengkulu untuk mengendalikan penyebaran COVID-19,2,False,False,True,False,False,60.5,5.2,Berakhir
133,ID-MA,2022-06-01,2022-08-24,PPKM Level 1,PPKM Level 1 Maluku,Implementasi PPKM Level 1 di Maluku untuk mengendalikan penyebaran COVID-19,2,False,True,True,True,False,62.5,9.4,Berakhir
134,ID-SS,2022-06-01,2022-08-10,PPKM Level 1,PPKM Level 1 Sumatera Selatan,Implementasi PPKM Level 1 di Sumatera Selatan untuk mengendalikan penyebaran COVID-19,2,True,True,True,True,True,61.0,9.9,Berakhir
135,ID-JB,2022-06-01,2022-08-12,PPKM Level 1,PPKM Level 1 Jawa Barat,Implementasi PPKM Level 1 di Jawa Barat untuk mengendalikan penyebaran COVID-19,2,True,True,True,False,True,88.9,6.4,Berakhir
136,ID-KB,2022-06-01,2022-08-04,PPKM Level 1,PPKM Level 1 Kalimantan Barat,Implementasi PPKM Level 1 di Kalimantan Barat untuk mengendalikan penyebaran COVID-19,2,False,False,True,True,False,60.5,7.7,Berakhir
137,ID-KT,2022-06-01,2022-08-06,PPKM Level 1,PPKM Level 1 Kalimantan Tengah,Implementasi PPKM Level 1 di Kalimantan Tengah untuk mengendalikan penyebaran COVID-19,2,False,False,True,False,False,88.6,7.4,Berakhir
138,ID-SB,2022-06-01,2022-06-27,PPKM Level 1,PPKM Level 1 Sumatera Barat,Implementasi PPKM Level 1 di Sumatera Barat untuk mengendalikan penyebaran COVID-19,2,True,False,True,True,True,63.9,9.6,Berakhir
139,ID-GO,2022-06-01,2022-07-24,PPKM Level 1,PPKM Level 1 Gorontalo,Implementasi PPKM Level 1 di Gorontalo untuk mengendalikan penyebaran COVID-19,2,True,True,False,True,True,64.4,6.7,Berakhir
140,ID-NB,2022-06-01,2022-07-09,PPKM Level 1,PPKM Level 1 Nusa Tenggara Barat,Implementasi PPKM Level 1 di Nusa Tenggara Barat untuk mengendalikan penyebaran COVID-19,2,True,False,False,False,True,86.2,8.0,Berakhir
141,ID-LA,2022-06-01,2022-06-22,PPKM Level 1,PPKM Level 1 Lampung,Implementasi PPKM Level 1 di Lampung untuk mengendalikan penyebaran COVID-19,2,True,True,True,False,False,83.4,5.2,Berakhir
142,ID-SA,2022-06-01,2022-07-15,PPKM Level 1,PPKM Level 1 Sulawesi Utara,Implementasi PPKM Level 1 di Sulawesi Utara untuk mengendalikan penyebaran COVID-19,2,False,True,True,False,False,69.3,8.1,Berakhir
143,ID-KU,2022-06-01,2022-06-29,PPKM Level 1,PPKM Level 1 Kalimantan Utara,Implementasi PPKM Level 1 di Kalimantan Utara untuk mengendalikan penyebaran COVID-19,2,True,False,True,False,False,84.9,8.7,Berakhir
